Features,Kilowatts,Cylinder Layout,Finance Price,Mileage,Gears,Fuel Type,No of Seats,Registration Year,Colour,No of Doors,Spare Key,Fuel Consumption,Dekra,Variant,Drive,Body Type,Vehicle Service History,id,Maintenance plan,Fuel Tank Capacity,Parking bay number,Category,Price,Make,NaTIS Vehicle status,Engine Capacity,Branch,Warranty,Model,Transmission
"['Reverse camera', 'Auto stop-start']",250 kW,V6,R 22 416  p/m,72 500km,8,Petrol,4,2020,Silver,5,Yes,,Dekra Platinum,Cayenne Coupe,FR,Sports Utility Vehicle (SUV),Partial but Up to Date,EFBA12145,,75 l,, A,R 1 212 900 ,Porsche,,2998 cc,Midstream (GP),,Cayenne Coupe,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",,,R 22 326  p/m,3 500km,,Electric,5,2023,White,5,Yes,,Dekra Platinum,S 90 KWH (294 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",444B08388,2028/02/15,,, A,R 1 207 900 ,Jaguar,,,Midstream (GP),2031/02/15,I-Pace,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",177 kW,I4,R 21 416  p/m,41 500km,8,Diesel,7,2020,Black,5,Yes,7.65 l/100km,Dekra Platinum,D240 S (177 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",DC1708436,2025/07/19,88 l,, A,R 1 157 900 ,Land Rover,,1997 cc,JHB South (GP),,Defender 110,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",257 kW,I6,R 43 148  p/m,31 000km,8,Diesel,5,2023,Black,5,Yes,7.4 l/100km,Dekra Platinum,3.0d First ED (D350),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",871102276,2028/01/05,80 l,, A,R 2 352 900 ,Land Rover,,2997 cc,Dome (GP),2028/01/05,Range Rover Sport,Automatic
[],375 kW,V8,,73 482km,7,Petrol,2,2015,Yellow,2, No,9.4 l/100km,Dekra Gold,S 4.0 V8 Coupe,R,Coupe,Partial,69E608239,,80 l,, A,R 1 152 000 ,Mercedes-Benz,,3982 cc,Richmond (WC),,AMG GT,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",195 kW,V8,R 18 325  p/m,131 000km,6,Diesel,7,2018,White,5,Yes,10.2 l/100km,Dekra Gold,200 V8 4.5d Vx-R Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",575912778,,138 l,, A,R 987 900 ,Toyota,,4461 cc,Brackenfell (WC),,Land Cruiser,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",338 kW,V8,R 42 057  p/m,14 000km,8,Petrol,4,2023,Grey,5,Yes,,Dekra Platinum,Cayenne GTS Coupe,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",680D14461,,90 l,, A,R 2 292 900 ,Porsche,,2998 cc,Midstream (GP),2025/01/20,Cayenne Coupe,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",177 kW,I4,,61 742km,8,Diesel,7,2021,White,5,Yes,7.65 l/100km,Dekra Platinum,D240 S (177 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",5C1308598,2026/02/16,88 l,, A,R 1 142 000 ,Land Rover,,1997 cc,Silver Lakes (GP),2025/02/16,Defender 110,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",195 kW,I6,R 18 288  p/m,90 000km,8,Diesel,7,2019,Grey,5,Yes,7 l/100km,Dekra Green,xDrive30d (G07),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",F9C703644,,80 l,, A,R 985 900 ,BMW,,2993 cc,Dome (GP),,X7,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",460 kW,V8,R 34 055  p/m,34 080km,8,Petrol,5,2021,White,5,Yes,12.5 l/100km,Dekra Platinum,M (F96),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",286700765,2026/01/29,83 l,, A,R 1 852 900 ,BMW,,4395 cc,Midstream (GP),2026/01/29,X6,Automatic
['Reverse camera'],386 kW,V8,R 20 780  p/m,55 000km,8,Petrol,5,2019,Black,5,Yes,12.8 l/100km,Dekra Platinum,Sport 5.0 V8 HSE Dynamic,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",3F8314487,,104 l,NEL A001, A,R 1 122 900 ,Land Rover,,5000 cc,Mbombela (MP),,Range Rover,Automatic
[],386 kW,V8,R 31 964  p/m,23 000km,8,Petrol,5,2020,Grey,5, No,12.8 l/100km,Dekra Platinum,5.0 Autobio (386 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",546A02830,2025/01/19,104 l,Near: DOM A001, A,R 1 737 900 ,Land Rover,,5000 cc,Dome (GP),2025/01/19,Range Rover,Automatic
"['Reverse camera', 'Auto stop-start']",331 kW,V6,R 20 507  p/m,15 000km,8,Petrol,5,2021,Red,5,Yes,9.4 l/100km,Dekra Platinum,RS5 Sportback,FR,Hatchback,"Complete, Up To Date",AB6807727,2026/07/30,58 l,, A,R 1 107 900 ,Audi,,2894 cc,Silver Lakes (GP),,A5,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",190 kW,V6,R 18 197  p/m,66 000km,8,Diesel,5,2021,Undefined,5,Yes,7.8 l/100km,Dekra Platinum,3.0d HSE (190 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",90DB12704,2026/04/29,86 l,, A,R 1 097 900,Land Rover,,2993 cc,Silver Lakes (GP),2026/04/29,Range Rover Sport,Automatic
[],180 kW,I4,R 18 143  p/m,20 000km,9,Diesel,5,2022,White,5,Yes,5.7 l/100km,Dekra Platinum,300d 4matic,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",B67D11653,2027/02/27,57 l,, A,R 977 900 ,Mercedes-Benz,,1950 cc,Silver Lakes (GP),,GLC,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",150 kW,I4,R 20 325  p/m,15 115km,6,Diesel,7,2022,White,5,Yes,7.9 l/100km,Dekra Platinum,Vx-L 2.8gd Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",662C08257,,150 l,, A,R 1 097 900 ,Toyota,,2755 cc,Brackenfell (WC),2028/09/15,Prado,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",386 kW,V8,,49 000km,8,Petrol,7,2022,Black,5,Yes,12.7 l/100km,Dekra Platinum,P525 V8 (386 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",D96205536,2027/04/30,90 l,, A,R 1 681 000 ,Land Rover,,4999 cc,Midstream (GP),,Defender 110,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",440 kW,,,28 537km,2,Electric,5,2022,Red,5,Yes,,Dekra Platinum,RS E-Tron GT,FR,Sedan,"Complete, Up To Date",D82105427,2027/02/10,,, A,R 1 671 000 ,Audi,,,Midstream (GP),2027/02/10,e-TRON,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",210 kW,,R 18 143  p/m,27 000km,,Electric,5,2022,Blue,5,Yes,,Dekra Platinum,iX3,R,Sports Utility Vehicle (SUV),"Complete, Up To Date",2E2403243,2027/08/31,,MID H088, A,R 977 900 ,BMW,,,Midstream (GP),2027/08/03,iX3,Automatic
[],294 kW,B6,,34 000km,7,Petrol,4,2013,Red,2,Yes,8.7 l/100km,Dekra Gold,Carrera S PDK (991),R,Coupe,"Complete, Up To Date",821505795,,64 l,DOM a178, A,R 1 097 000 ,Porsche,,3800 cc,Dome (GP),,911,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",221 kW,I6,R 30 327  p/m,14 454km,8,Diesel,7,2023,White,5,Yes,7.6 l/100km,Dekra Platinum,D300 SE X-Dynamic (221 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",344309824,2028/05/01,89 l,Near: MID M029, A,R 1 647 900 ,Land Rover,,2996 cc,Midstream (GP),2028/05/01,Defender 110,Automatic
['Reverse camera'],294 kW,I5,R 18 143  p/m,9 820km,7,Petrol,4,2021,Grey,2,Yes,8.7 l/100km,Dekra Platinum,RS Quattro Coupe Stronic (294 KW),FR,Coupe,"Complete, Up To Date",C72602862,2026/10/23,55 l,DBN C004, A,R 977 900 ,Audi,,2480 cc,Springfield (KZN),,TT,Automatic
['Reverse camera'],195 kW,V8,R 20 289  p/m,114 826km,6,Diesel,7,2019,White,5,Yes,10.2 l/100km,Dekra Green,200 V8 4.5d Vx-R Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",4DBE05234,,138 l,, A,R 1 095 900 ,Toyota,,4461 cc,George (WC),2025/10/13,Land Cruiser,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",243 kW,V6,R 29 327  p/m,5 000km,7,Petrol,5,2022,Grey,4, No,,Dekra Platinum,PDK,R,Sedan,"Complete, Up To Date",98D406091,,75 l,, A,R 1 592 900 ,Porsche,,2894 cc,Dome (GP),,Panamera,Automatic
[],150 kW,I4,R 20 216  p/m,9 212km,6,Diesel,7,2022,Silver,5,Yes,7.9 l/100km,Dekra Platinum,VX 2.8gd Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",9EB405480,,150 l,, A,R 1 091 900 ,Toyota,,2755 cc,George (WC),2028/08/30,Prado,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",184 kW,V6,R 18 106  p/m,23 500km,10,Diesel,7,2023,Silver,5,Yes,8.5 l/100km,Dekra Platinum,3.0d V6 Platinum AWD Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",C20D06578,,77 l,, A,R 975 900 ,Ford,,2993 cc,Brackenfell (WC),2027/02/23,Everest,Automatic
"['Reverse camera', 'Auto stop-start']",221 kW,I6,R 20 089  p/m,79 000km,8,Diesel,7,2021,White,5,Yes,8.25 l/100km,Dekra Platinum,3.0 TD S (D300),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",772B11912,,89 l,GER B005, A,R 1 084 900 ,Land Rover,,2996 cc,Germiston (GP),2026/06/08,Discovery,Automatic
[],450 kW,V8,R 29 054  p/m,29 224km,9,Petrol,7,2020,Undefined,5,Yes,12.3 l/100km,Dekra Platinum,AMG GLS 63 4matic+,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",497009634,2025/09/08,102 l,, A,R 1 577 900 ,Mercedes-Benz,,3982 cc,Silver Lakes (GP),2025/09/08,GLS,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",150 kW,I4,R 20 052  p/m,26 000km,6,Diesel,7,2023,White,5,Yes,7.9 l/100km,Dekra Platinum,Vx-L 2.8gd Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",EEBE05961,,150 l,SIL j050, A,R 1 082 900 ,Toyota,,2755 cc,Silver Lakes (GP),2026/06/25,Prado,Automatic
"['Reverse camera', 'Auto stop-start']",221 kW,I6,R 19 507  p/m,73 000km,8,Diesel,7,2021,White,5,Yes,8.25 l/100km,Dekra Platinum,3.0 TD S (D300),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",758110998,2026/04/15,89 l,GER B008, A,R 1 052 900 ,Land Rover,,2996 cc,Germiston (GP),2026/04/18,Discovery,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",294 kW,V6,,99 000km,8,Petrol,7,2021,Undefined,5,Yes,9.75 l/100km,Dekra Platinum,P400 X (294 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",CDCF07157,1900/01/01,90 l,, A,R 1 052 000 ,Land Rover,,2996 cc,Richmond (WC),2025/11/21,Defender 110,Automatic
[],250 kW,V6,R 19 143  p/m,48 900km,8,Petrol,5,2018,White,5, No,9.2 l/100km,Dekra Platinum,Tiptronic (E3),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",4C7E10563,,75 l,, A,R 1 032 900 ,Porsche,,2995 cc,Midstream (GP),,Cayenne,Automatic
[],150 kW,I4,R 19 052  p/m,19 752km,6,Diesel,7,2021,White,5,Yes,7.9 l/100km,Dekra Platinum,VX 2.8gd Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",477806459,2030/09/14,150 l,SIL B003, A,R 1 027 900 ,Toyota,,2755 cc,Silver Lakes (GP),2024/09/14,Prado,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",405 kW,V8,R 18 088  p/m,57 576km,8,Petrol,5,2020,White,5,Yes,11.9 l/100km,Dekra Platinum,5.0 V8 SVR,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",C65C09449,2025/02/28,66 l,, A,R 974 900 ,Jaguar,,4999 cc,Germiston (GP),,F-Pace,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",221 kW,I6,R 27 690  p/m,20 000km,8,Diesel,5,2023,Black,5,Yes,,Dekra Platinum,3.0d Dynamic HSE (D300),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",D6E807648,2024/04/21,60 l,, A,R 1 502 900 ,Land Rover,,2998 cc,Midstream (GP),2028/01/01,Velar,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",150 kW,I4,R 18 870  p/m,55 000km,6,Diesel,7,2022,White,5,Yes,7.9 l/100km,Dekra Platinum,Vx-L 2.8gd Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",5F9B04053,,150 l,MID H008, A,R 1 017 900 ,Toyota,,2755 cc,Midstream (GP),2025/04/28,Prado,Automatic
[],294 kW,I6,R 18 070  p/m,10 000km,7,Petrol,5,2021,Green,5,Yes,8.75 l/100km,Dekra Platinum,RS Q3 2.5 TFSI Tiptronic,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",1B8604789,2026/12/09,60 l,Near: DOM a001, A,R 973 900 ,Audi,,2490 cc,Dome (GP),,Q3,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",250 kW,V6,R 27 672  p/m,40 000km,8,Petrol,4,2022,Blue,5,Yes,,Dekra Platinum,Platinum Edition,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",8B5309731,,75 l,JBS i005, A,R 1 501 900 ,Porsche,,2995 cc,JHB South (GP),,Cayenne Coupe,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",294 kW,I6,R 18 779  p/m,68 500km,8,Diesel,5,2019,White,5, No,6.8 l/100km,Dekra Platinum,M50d (G05),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",A47D06979,2024/10/02,80 l,, A,R 1 012 900 ,BMW,,2993 cc,Silver Lakes (GP),,X5,Automatic
[],350 kW,,R 26 326  p/m,12 536km,2,Electric,5,2022,Blue,5, No,,Dekra Platinum,GT,FR,Sedan,"Complete, Up To Date",1DE208542,2026/01/01,,, A,R 1 427 900 ,Audi,,,Midstream (GP),,e-TRON,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",405 kW,V8,R 18 070  p/m,77 850km,8,Petrol,5,2021,Black,5,Yes,11.9 l/100km,Dekra Platinum,5.0 V8 SVR,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",279107841,2025/12/30,66 l,Near: DOM C001, A,R 973 900 ,Jaguar,,4999 cc,Dome (GP),2025/11/29,F-Pace,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",177 kW,I4,,90 000km,8,Diesel,7,2021,White,5,Yes,7.65 l/100km,Dekra Green,D240 S (177 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",E67312633,2026/01/12,88 l,, A,R 995 000 ,Land Rover,,1997 cc,Silver Lakes (GP),2026/01/12,Defender 110,Automatic
['Reverse camera'],150 kW,I4,R 18 034  p/m,67 642km,6,Diesel,7,2021,Silver,5, No,7.9 l/100km,Dekra Green,Vx-L 2.8gd Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",7ECC06585,,150 l,SIL B004, A,R 971 900 ,Toyota,,2755 cc,Silver Lakes (GP),2024/05/11,Prado,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",250 kW,V6,R 25 963  p/m,4 000km,8,Petrol,5,2023,Grey,5,Yes,9.1 l/100km,Dekra Platinum,55tfsi quattro tiptronic,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",928503612,2028/07/24,85 l,Near: RIC E009, A,R 1 407 900 ,Audi,,2995 cc,Richmond (WC),2024/07/24,Q8,Automatic
"['CarPlay or Android Auto', 'Auto stop-start']",185 kW,I4,R 18 397  p/m,24 000km,7,Petrol,5,2020,White,5,Yes,8.9 l/100km,Dekra Platinum,Macan,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",8E4608204,2025/01/07,65 l,MID G016, A,R 991 900 ,Porsche,,1984 cc,Midstream (GP),,Macan,Automatic
[],268 kW,V6,R 25 508  p/m,32 000km,8,Petrol,5,2021,White,5,Yes,9.63 l/100km,Dekra Platinum,Sport 3.0 HSE (265 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",7BE702215,2024/06/10,104 l,GER B001, A,R 1 382 900 ,Land Rover,,2995 cc,Germiston (GP),2024/06/10,Range Rover,Automatic
"['Reverse camera', 'Auto stop-start']",250 kW,V6,R 17 997  p/m,92 000km,8,Petrol,5,2020,White,5,Yes,10.5 l/100km,Dekra Platinum,Sport 3.0 SE (250 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",8F1D03193,2025/07/23,104 l,MID M026, A,R 969 900 ,Land Rover,,2995 cc,Midstream (GP),,Range Rover,Automatic
[],386 kW,V10,R 18 361  p/m,55 000km,7,Petrol,2,2012,Blue,2, No,13.7 l/100km,Dekra Green,5.2 FSI Quattro Auto,FR,Coupe,Partial but Up to Date,8BD104085,,90 l,, A,R 989 900 ,Audi,,5204 cc,Richmond (WC),,R8,Automatic
[],225 kW,V6,R 25 417  p/m,17 000km,10,Diesel,7,2022,White,5,Yes,8.9 l/100km,Dekra Platinum,300 V6 3.3d Gx-R,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",98B905895,2025/01/01,110 l,GER F052, A,R 1 377 900 ,Toyota,,3346 cc,Germiston (GP),,Land Cruiser,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",297 kW,I4,R 17 997  p/m,69 753km,8,Hybrid,5,2019,White,5, No,2.8 l/100km,Dekra Platinum,Sport 2.0 Phev HSE Dynamic,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",EBA807316,2024/10/01,104 l,, A,R 969 900 ,Land Rover,,1997 cc,Dome (GP),,Range Rover,Automatic
[],190 kW,V6,R 18 325  p/m,24 000km,8,Diesel,5,2022,White,5,Yes,7.1 l/100km,Dekra Platinum,3.0 TDI V6 Luxury,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",3C4C07998,2025/06/30,90 l,MID G006, A,R 987 900 ,Volkswagen,,2967 cc,Midstream (GP),2024/06/30,Touareg,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",225 kW,V6,R 24 872  p/m,33 000km,10,Diesel,7,2022,White,5,Yes,8.9 l/100km,Dekra Platinum,300 V6 3.3d Gx-R,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",E2B413643,,110 l,, A,R 1 347 900 ,Toyota,,3346 cc,Midstream (GP),2025/11/27,Land Cruiser,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",173 kW,V8,R 17 888  p/m,88 994km,6,Diesel,7,2017,White,5,Yes,10.3 l/100km,Dekra Platinum,200 V8 4.5d VX Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",195A10128,,138 l,JBS E018, A,R 963 900 ,Toyota,,4461 cc,JHB South (GP),,Land Cruiser,Automatic
"['CarPlay or Android Auto', 'Reverse camera']",375 kW,V8,R 24 599  p/m,51 000km,8,Petrol,4,2019,Grey,5,Yes,13.8 l/100km,Dekra Platinum,5.0 V8 Super Charged Autobiography,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",2A9408895,,105 l,Near: GER 1032, A,R 1 332 900 ,Land Rover,,4999 cc,Germiston (GP),,Range Rover,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",300 kW,I4,R 17 888  p/m,49 000km,8,Hybrid,7,2021,Black,5,Yes,2.1 l/100km,Dekra Platinum,T8 Inscription/plus Bright AWD (hybrid),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",46F404084,2025/12/31,50 l,MID L007, A,R 963 900 ,Volvo,,1969 cc,Midstream (GP),2025/12/31,Xc90,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",405 kW,V8,R 16 542  p/m,41 000km,8,Petrol,5,2019,White,5, No,11.9 l/100km,Dekra Platinum,5.0 V8 SVR,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",0F7201162,,66 l,, A,R 889 900 ,Jaguar,,4999 cc,Silver Lakes (GP),2024/08/25,F-Pace,Automatic
['Reverse camera'],386 kW,V8,R 24 035  p/m,63 018km,8,Petrol,5,2020,White,5,Yes,12.8 l/100km,Dekra Platinum,Sport 5.0 V8 HSE Dynamic,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",8BE000327,2025/05/17,104 l,JBS i006, A,R 1 301 900 ,Land Rover,,5000 cc,JHB South (GP),2025/05/17,Range Rover,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",225 kW,V6,R 16 542  p/m,72 000km,8,Diesel,5,2018,Grey,5,Yes,7 l/100km,Dekra Platinum,3.0d HSE (225 KW),FR,Sports Utility Vehicle (SUV),Partial but Up to Date,246204832,,86 l,, A,R 889 900 ,Land Rover,,2993 cc,Brackenfell (WC),,Range Rover Sport,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",390 kW,V8,,26 502km,8,Petrol,5,2020,Blue,4,Yes,10.7 l/100km,Dekra Green,M850i xDrive Gran Coupe (G16),FR,Sedan,"Complete, Up To Date",122E07727,2024/12/31,68 l,, A,R 1 297 000 ,BMW,,4395 cc,George (WC),,8 Series,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",250 kW,V6,R 17 779  p/m,76 250km,8,Petrol,5,2019,White,5,Yes,10.5 l/100km,Dekra Platinum,Sport 3.0 HSE (250 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",8C3405137,2024/04/29,104 l,, A,R 957 900 ,Land Rover,,2995 cc,Silver Lakes (GP),,Range Rover,Automatic
['Reverse camera'],173 kW,V8,R 17 706  p/m,99 000km,6,Diesel,7,2017,White,5,Yes,10.3 l/100km,Dekra Platinum,200 V8 4.5d VX Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",ADC409380,,138 l,Near: DOM D001 upstairs , A,R 953 900 ,Toyota,,4461 cc,Dome (GP),,Land Cruiser,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",140 kW,I4,,37 000km,7,Diesel,7,2021,Grey,5,Yes,6 l/100km,Dekra Platinum,V250d Avantgarde Auto,R,Multi Purpose Vehicle,"Complete, Up To Date",005708764,,75 l,, A,R 1 292 000 ,Mercedes-Benz,,2143 cc,Germiston (GP),2026/09/30,V250,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",300 kW,I4,R 16 524  p/m,74 000km,8,Hybrid,7,2021,Grey,5,Yes,2.1 l/100km,Dekra Platinum,T8 Twin Engine R-Design AWD (hybrid),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",DC1405158,2024/11/30,50 l,Near: DOM B001 Upstairs, A,R 888 900 ,Volvo,,1969 cc,Dome (GP),2025/12/01,Xc90,Automatic
['Reverse camera'],190 kW,V6,R 17 634  p/m,32 000km,8,Diesel,5,2018,Silver,5,Yes,7.8 l/100km,Dekra Platinum,Sport 3.0 TDV6 HSE,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",245504772,,80 l,, A,R 949 900 ,Land Rover,,2993 cc,JHB South (GP),,Range Rover,Automatic
[],250 kW,V8,R 23 708  p/m,56 000km,8,Diesel,5,2018,White,5,Yes,8.55 l/100km,Dekra Platinum,4.4d Vogue SE (250 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",D10D08274,2023/07/31,86 l,JBS i007, A,R 1 283 900 ,Land Rover,,4367 cc,JHB South (GP),2023/07/31,Range Rover,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",190 kW,V6,R 17 597  p/m,70 348km,8,Diesel,5,2020,Undefined,5, No,7.8 l/100km,Dekra Platinum,3.0 TD6 HSE Luxury,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",BA9E05040,,85 l,, A,R 947 900 ,Land Rover,,2993 cc,Silver Lakes (GP),2025/10/02,Discovery,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",405 kW,V8,R 16 506  p/m,50 000km,8,Petrol,5,2019,Silver,5, No,11.9 l/100km,Dekra Platinum,5.0 V8 SVR,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",804911749,,66 l,MID G001, A,R 887 900 ,Jaguar,,4999 cc,Midstream (GP),2024/06/15,F-Pace,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",195 kW,I6,R 22 780  p/m,32 522km,8,Diesel,5,2022,White,5,Yes,6.8 l/100km,Dekra Platinum,xDrive30d M Sport (G05),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",881B03284,2027/08/19,80 l,MID G008, A,R 1 232 900 ,BMW,,2993 cc,Midstream (GP),2027/08/19,X5,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",177 kW,I4,R 22 598  p/m,55 400km,8,Diesel,6,2021,Green,3,Yes,7.6 l/100km,Dekra Platinum,D240 SE X-Dynamic (177 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",0F5A07043,2026/03/24,89 l,, A,R 1 297 900,Land Rover,,1999 cc,Silver Lakes (GP),2026/03/24,Defender 90,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",150 kW,I4,R 17 525  p/m,19 996km,6,Diesel,7,2022,White,5,Yes,7.9 l/100km,Dekra Platinum,TX 2.8gd Auto,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",47B900004,,150 l,RIC C018, A,R 943 900 ,Toyota,,2755 cc,Richmond (WC),2025/08/23,Prado,Automatic
[],405 kW,V8,R 16 506  p/m,54 277km,8,Petrol,5,2019,White,5,Yes,11.9 l/100km,Dekra Platinum,5.0 V8 SVR,FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",FF2605113,2024/06/30,66 l,GER e055, A,R 887 900 ,Jaguar,,4999 cc,Germiston (GP),2024/06/30,F-Pace,Automatic
['Reverse camera'],430 kW,V8,R 17 525  p/m,96 258km,9,Petrol,4,2016,Grey,5,Yes,11.9 l/100km,Dekra Platinum,Coupe 63 S AMG,FR,Sports Utility Vehicle (SUV),Partial but Up to Date,41ED02593,,93 l,MID G025, A,R 943 900 ,Mercedes-Benz,,5461 cc,Midstream (GP),,GLE,Automatic
"['CarPlay or Android Auto', 'Reverse camera', 'Auto stop-start']",177 kW,I4,R 16 506  p/m,99 300km,8,Diesel,6,2021,Brown,3, No,7.6 l/100km,Dekra Green,D240 SE X-Dynamic (177 KW),FR,Sports Utility Vehicle (SUV),"Complete, Up To Date",B00B02156,2026/01/02,89 l,, A,R 887 900 ,Land Rover,,1999 cc,Silver Lakes (GP),2026/02/02,Defender 90,Automatic
