interferenceOnShooter,intervening,bodyPart_head,bodyPart_left foot,bodyPart_right foot,playType_free kick,playType_open play,playType_penalty,playerConversionRate,matchConversionRate,distance,angle,outcome
1,1,False,False,True,False,True,False,0.0847457627118644,0.12121212121212122,17.530810021216933,18.54408751643558,1
1,3,False,True,False,False,True,False,0.09523809523809523,0.05405405405405406,17.090313045699308,13.982592487966803,0
0,8,False,True,False,True,False,False,0.08,0.125,29.456534079894737,14.153254558448031,0
1,5,False,False,True,False,True,False,0.10714285714285714,0.08333333333333333,26.94856025838857,15.458384060145306,0
1,2,False,False,True,False,True,False,0.10344827586206896,0.08,11.932141467481856,31.31591767184017,1
0,1,True,False,False,False,True,False,0.03773584905660377,0.02564102564102564,5.691230095506595,64.70199666137884,0
1,3,True,False,False,False,True,False,0.1956521739130435,0.09090909090909091,14.513927793674599,28.217620984698886,0
0,1,True,False,False,False,True,False,0.0945945945945946,0.06818181818181818,10.27329061206778,35.50300077387062,0
1,3,False,True,False,False,True,False,0.08771929824561403,0.0975609756097561,23.473306115671054,17.70102480544618,0
1,3,False,True,False,False,True,False,0.09259259259259259,0.15384615384615385,9.371792784734414,39.825787946920066,0
1,2,True,False,False,False,True,False,0.14035087719298245,0.10344827586206896,14.11385135248349,21.463415518086098,0
0,3,False,False,True,False,True,False,0.14285714285714285,0.06818181818181818,15.556712377620151,18.136328063675833,0
1,2,False,False,True,False,True,False,0.09615384615384616,0.0625,15.971890933762353,20.689093973236645,0
1,3,True,False,False,False,True,False,0.13333333333333333,0.0,11.590017256242547,33.5844742910857,0
0,2,False,False,True,False,True,False,0.22448979591836735,0.10638297872340426,23.02234132315825,14.08623516475427,0
1,2,True,False,False,False,True,False,0.14583333333333334,0.2,5.80152566141011,41.97300817846122,0
1,5,False,False,True,False,True,False,0.09259259259259259,0.14285714285714285,22.974030991534768,18.078415208000482,0
0,2,True,False,False,False,True,False,0.14285714285714285,0.16129032258064516,7.287503001714648,39.61207010341655,0
1,3,False,False,True,False,True,False,0.04081632653061224,0.20512820512820512,29.81250241090137,13.25934426819969,0
1,2,True,False,False,False,True,False,0.028985507246376812,0.12903225806451613,8.437298145733621,30.979324912018285,0
2,2,False,False,True,False,True,False,0.21052631578947367,0.0851063829787234,17.48082663949277,18.00073802345754,0
0,4,False,False,True,False,True,False,0.11538461538461539,0.07894736842105263,11.296924360196453,31.94511948027957,0
0,1,False,False,True,False,True,False,0.06,0.21428571428571427,12.876272752625272,31.422819325483786,0
0,1,True,False,False,False,True,False,0.1346153846153846,0.18181818181818182,8.784816446574169,39.68647990309388,1
0,2,False,False,True,False,True,False,0.12,0.07407407407407407,15.189430535737673,24.002613295897095,0
0,2,False,False,True,False,True,False,0.16129032258064516,0.0851063829787234,23.567046908766486,13.816623024372307,0
0,4,False,True,False,False,True,False,0.09803921568627451,0.21428571428571427,23.031248337856113,10.20855650245796,0
0,3,False,True,False,False,True,False,0.08108108108108109,0.08888888888888889,18.76006396577581,22.015010812969987,0
1,1,False,False,True,False,True,False,0.14814814814814814,0.11764705882352941,8.762157268618271,45.235783769876605,0
0,2,False,True,False,False,True,False,0.03773584905660377,0.10256410256410256,7.24486024709932,50.50636001403097,0
0,2,False,True,False,False,True,False,0.09090909090909091,0.14583333333333334,10.492521146035399,34.9424486223847,1
1,3,False,False,True,False,True,False,0.17857142857142858,0.12195121951219512,13.574461315278777,28.586772818789868,1
0,3,False,False,True,False,True,False,0.16071428571428573,0.20512820512820512,24.529706480102856,16.25931800061945,0
0,11,False,False,True,True,False,False,0.07407407407407407,0.10416666666666667,28.089588818635278,14.766676462003979,0
0,2,False,True,False,False,True,False,0.0945945945945946,0.0975609756097561,24.70138862493362,16.84903551707772,0
0,1,False,True,False,False,False,True,0.1206896551724138,0.12,10.97,36.90123249850194,1
2,3,False,False,True,False,True,False,0.03333333333333333,0.075,16.607266481874735,14.063402747560986,0
0,2,True,False,False,False,True,False,0.028985507246376812,0.022727272727272728,9.893078388449169,35.493911251206974,0
1,3,True,False,False,False,True,False,0.15517241379310345,0.20588235294117646,9.933423377667943,39.86863207938925,1
0,5,False,True,False,True,False,False,0.07142857142857142,0.14285714285714285,22.090780882531064,18.70307532616987,1
1,4,False,False,True,False,True,False,0.15151515151515152,0.24324324324324326,19.226024029944416,12.422241790363215,0
0,2,False,True,False,False,True,False,0.08771929824561403,0.08,16.535758222712378,21.117445234610397,0
2,2,False,False,True,False,True,False,0.140625,0.07692307692307693,5.886229693105766,50.24330468398792,1
2,4,False,True,False,False,True,False,0.1016949152542373,0.12121212121212122,14.146070125656808,19.892799186424615,0
0,1,False,True,False,False,True,False,0.1,0.06060606060606061,5.524499977373519,65.94149400005497,0
0,1,True,False,False,False,True,False,0.14035087719298245,0.09090909090909091,7.9956488167002435,49.136247166985335,0
2,4,False,True,False,False,True,False,0.125,0.09302325581395349,20.267831655112985,17.108463277282276,0
1,3,False,True,False,False,True,False,0.05714285714285714,0.08888888888888889,13.831156856893786,29.445425972516553,0
1,1,False,False,True,False,True,False,0.0967741935483871,0.12121212121212122,12.426817774474687,26.794859728271195,1
2,2,True,False,False,False,True,False,0.13846153846153847,0.07317073170731707,15.31034290928848,26.73728200396337,0
2,1,False,True,False,False,True,False,0.08064516129032258,0.022727272727272728,13.61224816112313,23.53933141240885,0
1,3,True,False,False,False,True,False,0.14583333333333334,0.23684210526315788,11.660437384592399,24.780049312874546,0
1,6,False,False,True,False,True,False,0.16129032258064516,0.037037037037037035,16.7981903787283,23.49224858244868,0
0,1,False,True,False,False,True,False,0.11320754716981132,0.06666666666666667,14.293138213842335,20.46040842755002,0
2,2,True,False,False,False,True,False,0.16326530612244897,0.0851063829787234,14.41436089460785,23.361616326727628,0
1,4,False,False,True,False,True,False,0.10204081632653061,0.08108108108108109,23.22571204505903,17.34151037194896,0
1,3,False,True,False,False,True,False,0.0945945945945946,0.13333333333333333,19.636700333813724,14.044834604058245,0
1,2,False,False,True,False,True,False,0.06451612903225806,0.17142857142857143,30.558890686672513,12.305763925341642,0
0,3,False,False,True,False,True,False,0.15517241379310345,0.2564102564102564,23.526652970620365,15.129831915890414,0
1,2,False,True,False,False,True,False,0.12962962962962962,0.10204081632653061,12.698759781962961,11.854431462402331,0
1,4,False,False,True,False,True,False,0.03333333333333333,0.125,26.38965138079698,15.678468228082986,0
0,3,False,False,True,False,True,False,0.11538461538461539,0.28205128205128205,28.52538693865519,12.600824114103846,1
0,1,False,True,False,False,True,False,0.08333333333333333,0.15384615384615385,7.9898498108537686,42.16176305260619,0
0,1,False,False,True,False,True,False,0.08620689655172414,0.2391304347826087,21.16914027541034,16.382675169997064,0
0,1,False,True,False,False,True,False,0.09259259259259259,0.1,37.83488998266019,9.284431227386145,0
2,4,False,True,False,False,True,False,0.08928571428571429,0.21428571428571427,27.212778248462616,14.899314577913643,0
0,1,True,False,False,False,True,False,0.125,0.16129032258064516,9.87754017961962,30.339821009011587,0
1,6,False,False,True,False,True,False,0.08771929824561403,0.1724137931034483,27.970250267024785,14.889469142299218,0
0,4,False,False,True,False,True,False,0.2,0.20689655172413793,21.04524886999439,10.589736346386712,0
0,1,False,False,True,False,True,False,0.0945945945945946,0.1794871794871795,8.70979333853565,43.080423427438085,0
0,2,False,False,True,False,True,False,0.0975609756097561,0.1111111111111111,15.010029979983386,25.760828048390604,0
0,7,True,False,False,False,True,False,0.14583333333333334,0.12195121951219512,10.039945218974056,36.94530768670058,0
0,2,False,False,True,False,True,False,0.05084745762711865,0.08333333333333333,13.955142421344183,13.044613209159493,0
